movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type
两杆大烟枪,https://movie.douban.com/subject/1293350/,675574,1998,英国,喜剧 犯罪
窃听风暴,https://movie.douban.com/subject/1900841/,630192,2006,德国,悬疑
音乐之声,https://movie.douban.com/subject/1294408/,682117,1965,美国,传记 爱情 歌舞
功夫,https://movie.douban.com/subject/1291543/,1330974,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,887668,2004,英国 美国,奇幻 冒险
西西里的美丽传说,https://movie.douban.com/subject/1292402/,1090358,2000,意大利 美国,战争 情色
阿凡达,https://movie.douban.com/subject/1652587/,1581897,2009,美国,动作 科幻 冒险
看不见的客人,https://movie.douban.com/subject/26580232/,1436287,2016,西班牙,犯罪 悬疑 惊悚
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,722756,1998,美国,战争
沉默的羔羊,https://movie.douban.com/subject/1293544/,1013170,1991,美国,犯罪 惊悚
小鞋子,https://movie.douban.com/subject/1303021/,463953,1997,伊朗,儿童 家庭
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,1082228,2014,美国 德国 英国,喜剧 冒险
蝴蝶效应,https://movie.douban.com/subject/1292343/,1064830,2004,美国 加拿大,悬疑 科幻 惊悚
飞越疯人院,https://movie.douban.com/subject/1292224/,602166,1975,美国,未知
禁闭岛,https://movie.douban.com/subject/2334904/,1109477,2010,美国,悬疑 惊悚
还有明天,https://movie.douban.com/subject/36445098/,365458,2023,意大利,喜剧 历史
心灵捕手,https://movie.douban.com/subject/1292656/,813059,1997,美国,未知
致命魔术,https://movie.douban.com/subject/1780330/,962112,2006,英国 美国,悬疑 惊悚
低俗小说,https://movie.douban.com/subject/1291832/,956778,1994,美国,喜剧 犯罪
超脱,https://movie.douban.com/subject/5322596/,720841,2011,美国,未知
哈利·波特与密室,https://movie.douban.com/subject/1296996/,913901,2002,英国 美国,奇幻 冒险
一一,https://movie.douban.com/subject/1292434/,507104,2000,中国台湾 日本,爱情 家庭
喜剧之王,https://movie.douban.com/subject/1302425/,1092200,1999,中国香港,喜剧  爱情
摩登时代,https://movie.douban.com/subject/1294371/,345980,1936,美国,喜剧 爱情
杀人回忆,https://movie.douban.com/subject/1300299/,834883,2003,韩国,动作 犯罪 悬疑 惊悚
致命ID,https://movie.douban.com/subject/1297192/,946046,2003,美国,悬疑 惊悚
春光乍泄,https://movie.douban.com/subject/1292679/,708156,1997,中国香港 日本 韩国,爱情 同性
加勒比海盗,https://movie.douban.com/subject/1298070/,966533,2003,美国,动作 冒险 奇幻
海豚湾,https://movie.douban.com/subject/3442220/,381996,2009,美国,纪录片
美国往事,https://movie.douban.com/subject/1292262/,470693,1984,美国 意大利,犯罪
红辣椒,https://movie.douban.com/subject/1865703/,568243,2006,日本,动画 悬疑 科幻 惊悚
七宗罪,https://movie.douban.com/subject/1292223/,1059504,1995,美国,犯罪 悬疑 惊悚
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,1222310,1993,中国香港,喜剧 爱情 古装
狩猎,https://movie.douban.com/subject/6985810/,469135,2012,丹麦 瑞典,未知
幽灵公主,https://movie.douban.com/subject/1297359/,668272,1997,日本,动画 奇幻 冒险
甜蜜蜜,https://movie.douban.com/subject/1305164/,671493,1996,中国香港,爱情
寄生虫,https://movie.douban.com/subject/27010768/,1545640,2019,韩国,未知
天书奇谭,https://movie.douban.com/subject/1428581/,334059,1983,中国大陆,动画 奇幻
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,813053,2012,美国 英国,动作 科幻 犯罪 惊悚
7号房的礼物,https://movie.douban.com/subject/10777687/,621275,2013,韩国,喜剧 家庭
超能陆战队,https://movie.douban.com/subject/11026735/,1143356,2014,美国,喜剧 动作 科幻 动画 冒险
第六感,https://movie.douban.com/subject/1297630/,636336,1999,美国,悬疑 惊悚
茶馆,https://movie.douban.com/subject/1461403/,207954,1982,中国大陆,历史
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,799087,1995,美国 奥地利 瑞士,爱情
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,652434,2004,美国 法国,爱情
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,774427,2006,日本,歌舞
哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,800394,2005,英国 美国,悬疑 奇幻 冒险
头脑特工队,https://movie.douban.com/subject/10533913/,804514,2015,美国,喜剧 动画 冒险
