movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1,star1_cnt,star2_cnt,star3_cnt,star4_cnt,star5_cnt,smooth_score,raw_avg
鬼子来了,https://movie.douban.com/subject/1291858/,712272,2000,中国大陆,喜剧,71.3,23.8,4.3,0.3,0.2,142454,213682,3062770,16952074,50784994,4.498203116067167,465.4
海蒂和爷爷,https://movie.douban.com/subject/25958717/,775608,2015,德国 瑞士,冒险 家庭,69.8,25.4,4.4,0.3,0.1,77561,232682,3412675,19700443,54137438,4.498201282425986,464.5
龙猫,https://movie.douban.com/subject/1291560/,1405742,1988,日本,动画 奇幻 冒险,64.4,29.5,5.8,0.2,0.1,140574,281148,8153304,41469389,90529785,4.4981996904422825,457.9
大闹天宫,https://movie.douban.com/subject/1418019/,507581,1961,中国大陆,动画 奇幻 古装,75.0,20.6,3.9,0.3,0.2,101516,152274,1979566,10456169,38068575,4.498132098328486,469.9
钢琴家,https://movie.douban.com/subject/1296736/,747317,2002,英国 法国 波兰 德国 美国,传记 战争 音乐,68.2,27.4,4.0,0.2,0.2,149463,149463,2989268,20476486,50967019,4.49812101471788,463.2
寻梦环游记,https://movie.douban.com/subject/20495023/,1976286,2017,美国,喜剧 动画 奇幻 音乐,62.8,30.0,6.7,0.4,0.2,395257,790514,13241116,59288580,124110761,4.498095523417626,455.1
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,853637,2002,美国 新西兰,动作 奇幻 冒险,67.1,26.8,5.6,0.4,0.1,85364,341455,4780367,22877472,57279043,4.498065092527714,460.4
天空之城,https://movie.douban.com/subject/1291583/,1005202,1986,日本,动画 奇幻 冒险,65.0,29.2,5.4,0.3,0.1,100520,301561,5428091,29351898,65338130,4.498059125999123,458.7
死亡诗社,https://movie.douban.com/subject/1291548/,876709,1989,美国,未知,66.8,26.9,5.6,0.5,0.2,175342,438354,4909570,23583472,58564161,4.498038664399148,459.6
教父2,https://movie.douban.com/subject/1299131/,637045,1974,美国,犯罪,69.0,25.9,4.6,0.3,0.2,127409,191114,2930407,16499466,43956105,4.498035512544776,463.2
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,1284133,2004,日本,爱情 动画 奇幻 冒险,63.8,29.0,6.5,0.5,0.2,256827,642066,8346864,37239857,81927685,4.497979987252358,455.7
辩护人,https://movie.douban.com/subject/21937445/,656062,2013,韩国,未知,66.4,28.7,4.6,0.3,0.1,65606,196819,3017885,18828979,43562517,4.497960991577612,461.29999999999995
天堂电影院,https://movie.douban.com/subject/1291828/,738714,1988,意大利 法国,爱情,66.0,27.9,5.5,0.4,0.1,73871,295486,4062927,20610121,48755124,4.497953996110077,459.0
猫鼠游戏,https://movie.douban.com/subject/1305487/,1204789,2002,美国 加拿大,传记 犯罪,61.5,33.1,5.1,0.2,0.1,120479,240958,6144424,39878516,74094524,4.497952954687739,455.70000000000005
怦然心动,https://movie.douban.com/subject/3319755/,2043660,2010,美国,喜剧 爱情,62.0,30.3,7.0,0.6,0.2,408732,1226196,14305620,61922898,126706920,4.497938154626799,453.6
飞屋环游记,https://movie.douban.com/subject/2129039/,1493981,2009,美国,喜剧 动画 冒险,61.4,32.0,6.2,0.3,0.1,149398,448194,9262682,47807392,91730433,4.497930826044257,454.3
饮食男女,https://movie.douban.com/subject/1291818/,722043,1994,中国台湾 美国,家庭,64.5,30.4,4.7,0.3,0.1,72204,216613,3393602,21950107,46571774,4.497921699335366,458.9
还有明天,https://movie.douban.com/subject/36445098/,365458,2023,意大利,喜剧 历史,73.7,21.2,4.2,0.6,0.4,146183,219275,1534924,7747710,26934255,4.497906086223655,467.5
摩登时代,https://movie.douban.com/subject/1294371/,345980,1936,美国,喜剧 爱情,71.0,24.8,3.8,0.2,0.1,34598,69196,1314724,8580304,24564580,4.497876538760868,466.1
茶馆,https://movie.douban.com/subject/1461403/,207954,1982,中国大陆,历史,80.6,16.8,2.4,0.2,0.1,20795,41591,499090,3493627,16761092,4.497873820198776,477.9
小鞋子,https://movie.douban.com/subject/1303021/,463953,1997,伊朗,儿童 家庭,66.9,28.4,4.3,0.2,0.1,46395,92791,1994998,13176265,31038456,4.497867453937367,461.5
黑客帝国,https://movie.douban.com/subject/1291843/,946527,1999,美国,动作 科幻,63.6,29.5,6.3,0.5,0.2,189305,473264,5963120,27922546,60199117,4.497862068827425,456.1
闻香识女人,https://movie.douban.com/subject/1298624/,1018873,1992,美国,未知,63.1,30.0,6.3,0.5,0.2,203775,509436,6418900,30566190,64290886,4.497857145305176,455.6
海豚湾,https://movie.douban.com/subject/3442220/,381996,2009,美国,纪录片,71.4,22.8,4.9,0.6,0.4,152798,229198,1871780,8709509,27274514,4.497856173143771,464.5
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,1485268,2012,美国 中国台湾 英国 加拿大,奇幻 冒险,61.6,31.3,6.5,0.5,0.2,297054,742634,9654242,46488888,91492509,4.497855820891214,453.9
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,956218,2001,新西兰 美国 英国,动作 奇幻 冒险,63.9,28.6,6.8,0.6,0.2,191244,573731,6502282,27347835,61102330,4.497843242751871,455.7
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,639822,2008,英国 美国,战争,63.6,31.3,4.6,0.3,0.2,127964,191947,2943181,20026429,40692679,4.497837568456939,457.8
窃听风暴,https://movie.douban.com/subject/1900841/,630192,2006,德国,悬疑,64.6,29.4,5.4,0.4,0.2,126038,252077,3403037,18527645,40710403,4.4978330973728475,457.8
两杆大烟枪,https://movie.douban.com/subject/1293350/,675574,1998,英国,喜剧 犯罪,64.3,29.0,5.9,0.5,0.2,135115,337787,3985887,19591646,43439408,4.497816992728158,456.4
狮子王,https://movie.douban.com/subject/1301753/,957280,1994,美国,动画 冒险 歌舞,61.6,31.7,6.2,0.3,0.1,95728,287184,5935136,30345776,58968448,4.497804816898993,454.1
何以为家,https://movie.douban.com/subject/30170448/,1159171,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,未知,60.2,33.8,5.5,0.4,0.1,115917,463668,6375440,39179980,69782094,4.497796844108887,453.6
天书奇谭,https://movie.douban.com/subject/1428581/,334059,1983,中国大陆,动画 奇幻,68.8,25.5,5.1,0.4,0.2,66812,133624,1703701,8518504,22983259,4.497782578779481,462.3
