movie_name,movie_href,movie_complex,movie_comment_num
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,2001 / 新西兰 美国 英国 / 剧情 动作 奇幻 冒险,956218人评价
罗马假日,https://movie.douban.com/subject/1293839/,1953 / 美国 / 喜剧 剧情 爱情,1045328人评价
教父2,https://movie.douban.com/subject/1299131/,1974 / 美国 / 剧情 犯罪,637045人评价
狮子王,https://movie.douban.com/subject/1301753/,1994 / 美国 / 动画 冒险 歌舞,957280人评价
天堂电影院,https://movie.douban.com/subject/1291828/,1988 / 意大利 法国 / 剧情 爱情,738714人评价
饮食男女,https://movie.douban.com/subject/1291818/,1994 / 中国台湾 美国 / 剧情 家庭,722043人评价
辩护人,https://movie.douban.com/subject/21937445/,2013 / 韩国 / 剧情,656062人评价
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,2008 / 美国 / 剧情 爱情 奇幻,1101614人评价
搏击俱乐部,https://movie.douban.com/subject/1292000/,1999 / 美国 / 剧情 动作 悬疑 惊悚,970443人评价
美丽心灵,https://movie.douban.com/subject/1306029/,2001 / 美国 / 传记 剧情,851342人评价
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,2008 / 英国 美国 / 剧情 战争,639822人评价
情书,https://movie.douban.com/subject/1292220/,1995 / 日本 / 剧情 爱情,1320841人评价
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,2011 / 美国 英国 / 奇幻 冒险,967406人评价
两杆大烟枪,https://movie.douban.com/subject/1293350/,1998 / 英国 / 剧情 喜剧 犯罪,675574人评价
窃听风暴,https://movie.douban.com/subject/1900841/,2006 / 德国 / 剧情 悬疑,630192人评价
音乐之声,https://movie.douban.com/subject/1294408/,1965 / 美国 / 剧情 传记 爱情 歌舞,682117人评价
功夫,https://movie.douban.com/subject/1291543/,2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,1330974人评价
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,2004 / 英国 美国 / 奇幻 冒险,887668人评价
西西里的美丽传说,https://movie.douban.com/subject/1292402/,2000 / 意大利 美国 / 剧情 战争 情色,1090358人评价
阿凡达,https://movie.douban.com/subject/1652587/,2009 / 美国 / 动作 科幻 冒险,1581897人评价
看不见的客人,https://movie.douban.com/subject/26580232/,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,1436287人评价
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,1998 / 美国 / 剧情 战争,722756人评价
沉默的羔羊,https://movie.douban.com/subject/1293544/,1991 / 美国 / 剧情 犯罪 惊悚,1013170人评价
小鞋子,https://movie.douban.com/subject/1303021/,1997 / 伊朗 / 剧情 儿童 家庭,463953人评价
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,2014 / 美国 德国 英国 / 剧情 喜剧 冒险,1082228人评价
蝴蝶效应,https://movie.douban.com/subject/1292343/,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,1064830人评价
飞越疯人院,https://movie.douban.com/subject/1292224/,1975 / 美国 / 剧情,602166人评价
禁闭岛,https://movie.douban.com/subject/2334904/,2010 / 美国 / 剧情 悬疑 惊悚,1109477人评价
还有明天,https://movie.douban.com/subject/36445098/,2023 / 意大利 / 剧情 喜剧 历史,365458人评价
心灵捕手,https://movie.douban.com/subject/1292656/,1997 / 美国 / 剧情,813059人评价
致命魔术,https://movie.douban.com/subject/1780330/,2006 / 英国 美国 / 剧情 悬疑 惊悚,962112人评价
