movie_href,stars5,stars4,stars3,stars2,stars1
https://movie.douban.com/subject/1292656/,56.6,35.5,7.3,0.5,0.2
https://movie.douban.com/subject/1780330/,54.5,36.8,7.9,0.6,0.2
https://movie.douban.com/subject/1291832/,55.8,34.4,8.7,0.9,0.3
https://movie.douban.com/subject/5322596/,59.3,32.3,7.4,0.7,0.2
https://movie.douban.com/subject/1296996/,54.5,36.5,8.4,0.4,0.1
https://movie.douban.com/subject/1292434/,66.4,25.7,6.7,0.9,0.4
https://movie.douban.com/subject/1302425/,52.3,37.9,9.1,0.6,0.1
https://movie.douban.com/subject/1294371/,71.0,24.8,3.8,0.2,0.1
https://movie.douban.com/subject/1300299/,55.0,36.8,7.4,0.6,0.2
https://movie.douban.com/subject/1297192/,53.1,38.3,7.8,0.6,0.2
https://movie.douban.com/subject/1292679/,57.9,33.5,7.7,0.6,0.3
https://movie.douban.com/subject/1298070/,52.4,38.3,8.7,0.5,0.1
https://movie.douban.com/subject/3442220/,71.4,22.8,4.9,0.6,0.4
https://movie.douban.com/subject/1292262/,65.3,27.3,6.2,0.7,0.4
https://movie.douban.com/subject/1865703/,61.4,30.2,7.3,0.8,0.3
https://movie.douban.com/subject/1292223/,51.0,39.1,9.0,0.6,0.2
https://movie.douban.com/subject/1306249/,49.2,40.0,10.0,0.6,0.1
https://movie.douban.com/subject/6985810/,62.6,31.1,5.4,0.5,0.4
https://movie.douban.com/subject/1297359/,56.6,34.5,8.2,0.6,0.2
https://movie.douban.com/subject/1305164/,55.6,36.0,7.7,0.5,0.2
https://movie.douban.com/subject/27010768/,50.4,40.9,7.9,0.6,0.3
https://movie.douban.com/subject/1428581/,68.8,25.5,5.1,0.4,0.2
https://movie.douban.com/subject/3395373/,54.3,35.8,8.9,0.7,0.2
https://movie.douban.com/subject/10777687/,57.4,33.5,8.0,0.8,0.3
https://movie.douban.com/subject/11026735/,49.4,40.1,9.8,0.6,0.1
https://movie.douban.com/subject/1297630/,54.9,37.0,7.5,0.5,0.1
https://movie.douban.com/subject/1461403/,80.6,16.8,2.4,0.2,0.1
https://movie.douban.com/subject/1296339/,54.4,34.4,9.8,1.0,0.3
https://movie.douban.com/subject/1291990/,56.5,33.7,8.6,0.8,0.3
https://movie.douban.com/subject/1787291/,55.0,34.0,9.3,1.2,0.5
https://movie.douban.com/subject/1309055/,52.2,37.5,9.6,0.6,0.1
https://movie.douban.com/subject/10533913/,53.9,35.7,9.6,0.7,0.2
https://movie.douban.com/subject/1395091/,62.3,30.6,6.2,0.6,0.3
https://movie.douban.com/subject/1291999/,51.3,37.6,9.9,0.9,0.3
https://movie.douban.com/subject/4202302/,54.4,37.3,7.8,0.4,0.1
https://movie.douban.com/subject/2149806/,53.0,37.7,8.6,0.6,0.2
https://movie.douban.com/subject/1293359/,54.6,35.7,8.7,0.8,0.2
https://movie.douban.com/subject/1418834/,53.5,35.6,9.7,0.8,0.4
https://movie.douban.com/subject/1292370/,48.2,39.9,10.9,0.8,0.2
https://movie.douban.com/subject/1294639/,56.3,34.1,8.7,0.7,0.2
https://movie.douban.com/subject/10577869/,52.8,36.2,9.9,0.8,0.2
https://movie.douban.com/subject/2353023/,49.8,40.4,9.3,0.4,0.1
https://movie.douban.com/subject/21318488/,47.7,42.6,8.9,0.6,0.2
https://movie.douban.com/subject/1292337/,62.5,31.8,5.1,0.4,0.2
