movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1
源代码,https://movie.douban.com/subject/3075287/,926466,2011,美国 加拿大,科幻 悬疑 惊悚,40.9,47.0,11.4,0.6,0.1
花束般的恋爱,https://movie.douban.com/subject/34874432/,828034,2021,日本,爱情,45.1,41.8,11.7,1.1,0.4
疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,618976,2015,澳大利亚 美国,动作 科幻 冒险,49.9,37.0,11.3,1.3,0.5
白日梦想家,https://movie.douban.com/subject/2133323/,648147,2013,美国 英国,喜剧 冒险,47.1,39.3,12.3,1.1,0.2
可可西里,https://movie.douban.com/subject/1308857/,346781,2004,中国大陆 中国香港,犯罪,54.1,37.3,7.9,0.5,0.2
你看起来好像很好吃,https://movie.douban.com/subject/4848115/,376036,2010,日本,动画 儿童,55.1,35.1,8.9,0.7,0.2
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,807228,2008,英国,爱情,42.9,44.7,11.5,0.7,0.2
爱乐之城,https://movie.douban.com/subject/25934014/,1115446,2016,美国,爱情 歌舞,43.7,37.8,15.8,2.2,0.6
波西米亚狂想曲,https://movie.douban.com/subject/5300054/,690471,2018,英国 美国,传记 同性 音乐,47.7,38.7,12.1,1.2,0.3
城市之光,https://movie.douban.com/subject/1293908/,173076,1931,美国,喜剧  爱情,70.4,25.1,4.1,0.3,0.2
爆裂鼓手,https://movie.douban.com/subject/25773932/,691517,2014,美国,音乐,46.9,40.2,11.2,1.2,0.5
东邪西毒,https://movie.douban.com/subject/1292328/,635755,1994,中国香港 中国台湾,动作 爱情 武侠 古装,47.7,38.3,12.1,1.4,0.5
青蛇,https://movie.douban.com/subject/1303394/,601609,1993,中国香港 中国大陆,爱情 奇幻 古装,45.8,41.9,11.4,0.8,0.2
哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,696382,2010,英国 美国,奇幻 冒险,45.3,40.2,13.1,1.1,0.3
无耻混蛋,https://movie.douban.com/subject/1438652/,562852,2009,德国 美国,犯罪,47.0,41.6,10.1,0.9,0.3
终结者2：审判日,https://movie.douban.com/subject/1291844/,386237,1991,美国 法国,动作 科幻,51.7,38.3,9.5,0.4,0.1
大红灯笼高高挂,https://movie.douban.com/subject/1293323/,372310,1991,中国大陆 中国香港 中国台湾,未知,50.6,41.3,7.5,0.5,0.2
黑天鹅,https://movie.douban.com/subject/1978709/,847288,2010,美国,惊悚,42.3,45.0,11.6,0.8,0.3
新龙门客栈,https://movie.douban.com/subject/1292287/,510388,1992,中国香港 中国大陆,动作 爱情 武侠 古装,46.0,43.3,9.9,0.6,0.1
初恋这件小事,https://movie.douban.com/subject/4739952/,1052218,2010,泰国,喜剧 爱情,42.4,41.5,14.5,1.3,0.3
人工智能,https://movie.douban.com/subject/1302827/,502950,2001,美国,科幻,48.8,38.3,11.4,1.2,0.3
千钧一发,https://movie.douban.com/subject/1300117/,350747,1997,美国,科幻 惊悚,51.6,39.3,8.4,0.5,0.1
崖上的波妞,https://movie.douban.com/subject/1959877/,575878,2008,日本,动画 奇幻 冒险,45.9,41.1,11.9,0.8,0.2
雨人,https://movie.douban.com/subject/1291870/,443366,1988,美国,未知,47.2,43.1,9.1,0.5,0.1
虎口脱险,https://movie.douban.com/subject/1296909/,296529,1966,法国 英国,喜剧 战争,57.1,32.9,8.9,0.8,0.3
哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,696181,2007,英国 美国,奇幻 冒险,44.5,40.3,14.0,1.0,0.2
彗星来的那一夜,https://movie.douban.com/subject/25807345/,685156,2013,美国 英国,科幻 悬疑 惊悚,44.0,42.6,11.8,1.2,0.4
罗生门,https://movie.douban.com/subject/1291879/,358659,1950,日本,犯罪 悬疑,51.9,38.1,9.0,0.8,0.3
海边的曼彻斯特,https://movie.douban.com/subject/25980443/,653303,2016,美国,家庭,43.9,43.3,11.5,1.0,0.2
恋恋笔记本,https://movie.douban.com/subject/1309163/,748587,2004,美国,爱情,44.2,40.0,13.9,1.5,0.4
真爱至上,https://movie.douban.com/subject/1292401/,808948,2003,英国 美国 法国,喜剧  爱情,45.1,38.0,14.6,1.8,0.6
火星救援,https://movie.douban.com/subject/25864085/,833228,2015,英国 美国 匈牙利 约旦,科幻 冒险,40.0,47.9,11.3,0.6,0.2
黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,455909,2003,美国,动作 科幻,47.7,40.3,11.0,0.9,0.2
步履不停,https://movie.douban.com/subject/2222996/,328206,2008,日本,家庭,50.9,40.0,8.2,0.6,0.2
冰雪奇缘,https://movie.douban.com/subject/4202982/,829974,2013,美国,喜剧 动画 奇幻 歌舞,40.6,45.3,13.1,0.8,0.2
奇迹男孩,https://movie.douban.com/subject/26787574/,601119,2017,美国 中国香港,儿童 家庭,42.7,44.4,12.1,0.7,0.1
千年女优,https://movie.douban.com/subject/1307394/,318485,2001,日本,动画  爱情,53.8,35.3,9.6,0.9,0.3
战争之王,https://movie.douban.com/subject/1419936/,415824,2005,美国 德国,犯罪,46.7,42.5,10.0,0.6,0.1
谍影重重2,https://movie.douban.com/subject/1308767/,400135,2004,美国 德国,动作 悬疑 惊悚,47.1,42.4,9.8,0.5,0.1
蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,757514,2018,美国,动作 科幻 动画 冒险,44.1,42.2,12.5,0.9,0.2
攻壳机动队,https://movie.douban.com/subject/1291936/,218322,1995,日本,动作 科幻 动画,60.7,31.2,7.1,0.7,0.3
血钻,https://movie.douban.com/subject/1428175/,422185,2006,美国 德国 英国,惊悚 冒险,44.8,45.1,9.5,0.5,0.1
小姐,https://movie.douban.com/subject/25977027/,576431,2016,韩国,悬疑 情色 同性,43.0,43.1,12.6,1.1,0.3
隐藏人物,https://movie.douban.com/subject/26615208/,272576,2016,美国,传记 历史,53.2,38.7,7.5,0.5,0.2
魂断蓝桥,https://movie.douban.com/subject/1293964/,310924,1940,美国,爱情 战争,50.6,39.7,9.0,0.6,0.2
血观音,https://movie.douban.com/subject/27113517/,561029,2017,中国台湾,悬疑,42.5,45.1,11.2,0.9,0.3
房间,https://movie.douban.com/subject/25724855/,400269,2015,爱尔兰 加拿大 英国 美国,家庭,47.2,43.7,8.5,0.4,0.1
