movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,853637,2002,美国 新西兰,动作 奇幻 冒险,67.1,26.8,5.6,0.4,0.1
死亡诗社,https://movie.douban.com/subject/1291548/,876709,1989,美国,未知,66.8,26.9,5.6,0.5,0.2
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,1361164,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,60.5,31.2,7.4,0.6,0.3
绿皮书,https://movie.douban.com/subject/27060077/,1884810,2018,美国 中国大陆,喜剧 传记 音乐,55.3,37.1,7.1,0.4,0.1
何以为家,https://movie.douban.com/subject/30170448/,1159171,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,未知,60.2,33.8,5.5,0.4,0.1
闻香识女人,https://movie.douban.com/subject/1298624/,1018873,1992,美国,未知,63.1,30.0,6.3,0.5,0.2
大闹天宫,https://movie.douban.com/subject/1418019/,507581,1961,中国大陆,动画 奇幻 古装,75.0,20.6,3.9,0.3,0.2
黑客帝国,https://movie.douban.com/subject/1291843/,946527,1999,美国,动作 科幻,63.6,29.5,6.3,0.5,0.2
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,956218,2001,新西兰 美国 英国,动作 奇幻 冒险,63.9,28.6,6.8,0.6,0.2
罗马假日,https://movie.douban.com/subject/1293839/,1045328,1953,美国,喜剧  爱情,60.8,32.4,6.4,0.3,0.1
教父2,https://movie.douban.com/subject/1299131/,637045,1974,美国,犯罪,69.0,25.9,4.6,0.3,0.2
狮子王,https://movie.douban.com/subject/1301753/,957280,1994,美国,动画 冒险 歌舞,61.6,31.7,6.2,0.3,0.1
天堂电影院,https://movie.douban.com/subject/1291828/,738714,1988,意大利 法国,爱情,66.0,27.9,5.5,0.4,0.1
饮食男女,https://movie.douban.com/subject/1291818/,722043,1994,中国台湾 美国,家庭,64.5,30.4,4.7,0.3,0.1
辩护人,https://movie.douban.com/subject/21937445/,656062,2013,韩国,未知,66.4,28.7,4.6,0.3,0.1
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,1101614,2008,美国,爱情 奇幻,58.6,33.3,7.4,0.5,0.1
搏击俱乐部,https://movie.douban.com/subject/1292000/,970443,1999,美国,动作 悬疑 惊悚,61.7,29.8,7.3,0.8,0.4
美丽心灵,https://movie.douban.com/subject/1306029/,851342,2001,美国,传记,60.0,33.4,6.1,0.4,0.1
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,639822,2008,英国 美国,战争,63.6,31.3,4.6,0.3,0.2
情书,https://movie.douban.com/subject/1292220/,1320841,1995,日本,爱情,56.7,32.7,9.3,1.0,0.3
